name,municipality,code,coordinates
Ulyanovsk Baratayevka Airport,Ulyanovsk,ULV,"48.226699829100006, 54.26829910279999"
Ulyanovsk East Airport,Ulyanovsk,ULY,"48.80270004272461, 54.4010009765625"
Orenburg Central Airport,Orenburg,REN,"55.45669937133789, 51.795799255371094"
Orsk Airport,Orsk,OSW,"58.59560012817383, 51.0724983215332"
Penza Airport,Penza,PEZ,"45.02109909057617, 53.110599517822266"
Saransk Airport,Saransk,SKX,"45.212257385253906, 54.12512969970703"
Balakovo Airport,Balakovo,BWO,"47.7456016541, 51.8582992554"
Saratov Central Airport,Saratov,RTW,"46.04669952392578, 51.564998626708984"
Beloretsk Airport,Beloretsk,BCX,"58.34000015258789, 53.9380989074707"
Neftekamsk Airport,Neftekamsk,NEF,"54.3471984863, 56.1068992615"
Oktyabrskiy Airport,Kzyl-Yar,OKT,"53.3883018494, 54.4399986267"
Ufa International Airport,Ufa,UFA,"55.874401092529, 54.557498931885"
Kurumoch International Airport,Samara,KUF,"50.16429901123, 53.504901885986"
Hope Bay Aerodrome,Hope Bay,UZM,"-106.618, 68.156"
Urzhar Airport,Urzhar,UZR,"81.66521, 47.09115"
"Rewa Airport, Chorhata, REWA",Rewa,REW,"81.220299, 24.503401"
Diu Airport,Diu,DIU,"70.92109680175781, 20.71310043334961"
Sardar Vallabhbhai Patel International Airport,Ahmedabad,AMD,"72.63469696039999, 23.0771999359"
Akola Airport,Akola,AKD,"77.058601, 20.698999"
Aurangabad Airport,Aurangabad,IXU,"75.39810180664062, 19.862699508666992"
Chhatrapati Shivaji International Airport,Mumbai,BOM,"72.8678970337, 19.0886993408"
Bilaspur Airport,Bilaspur,PAB,"82.111, 21.9884"
Bhuj Airport,Bhuj,BHJ,"69.6701965332, 23.2877998352"
Belgaum Airport,Belgaum,IXG,"74.6183013916, 15.859299659700001"
Vadodara Airport,Vadodara,BDQ,"73.226303, 22.336201"
Raja Bhoj International Airport,Bhopal,BHO,"77.3374023438, 23.2875003815"
Bhavnagar Airport,Bhavnagar,BHU,"72.1852035522, 21.752199173"
Daman Airport,,NMB,"72.84320068359375, 20.43440055847168"
Guna Airport,,GUX,"77.347298, 24.654699"
Dabolim Airport,Vasco da Gama,GOI,"73.8313980103, 15.3808002472"
Hubli Airport,Hubli,HBX,"75.08489990230001, 15.361700058"
Devi Ahilyabai Holkar Airport,Indore,IDR,"75.8011016846, 22.7217998505"
Jabalpur Airport,,JLR,"80.052001953125, 23.177799224853516"
Jamnagar Airport,Jamnagar,JGA,"70.01260375976562, 22.465499877929688"
Kandla Airport,Kandla,IXY,"70.100304, 23.1127"
Khajuraho Airport,Khajuraho,HJR,"79.91860198970001, 24.817199707"
Kolhapur Airport,,KLH,"74.2893981934, 16.6646995544"
Keshod Airport,,IXK,"70.27040100097656, 21.317100524902344"
Nanded Airport,Nanded,NDC,"77.31670379639999, 19.1833000183"
Dr. Babasaheb Ambedkar International Airport,Nagpur,NAG,"79.047203, 21.092199"
Nashik Airport,Nasik,ISK,"73.912903, 20.119101"
Pune Airport,Pune,PNQ,"73.9197006225586, 18.58209991455078"
Porbandar Airport,Porbandar,PBD,"69.65720367429999, 21.6487007141"
Ratnagiri Airport,,RTC,"73.327797, 17.013599"
Rajkot Airport,Rajkot,RAJ,"70.77950286869999, 22.3092002869"
Raipur Airport,Raipur,RPR,"81.7388, 21.180401"
Shirdi Airport,Shirdi,SAG,"74.378889, 19.688611"
Solapur Airport,Solapur,SSE,"75.93479919430001, 17.6280002594"
Surat Airport,,STV,"72.7417984009, 21.1140995026"
Maharana Pratap Airport,Udaipur,UDR,"73.89610290530001, 24.617700576799997"
Bandaranaike International Colombo Airport,Colombo,CMB,"79.88410186767578, 7.180759906768799"
Anuradhapura Air Force Base,Anuradhapura,ACJ,"80.42790222170001, 8.30148983002"
Batticaloa Airport,Batticaloa,BTC,"81.678802, 7.70576"
Colombo Ratmalana Airport,Colombo,RML,"79.88619995117188, 6.821990013122559"
Ampara Airport,Ampara,ADP,"81.62594, 7.33776"
Hingurakgoda Air Force Base,Polonnaruwa Town,HIM,"80.9814, 8.04981"
Kankesanturai Airport,Jaffna,JAF,"80.07009887695312, 9.792329788208008"
Koggala Airport,Galle,KCT,"80.32029724121094, 5.993680000305176"
Katukurunda Air Force Base,Kalutara,KTY,"79.9775009155, 6.55212020874"
Sigiriya Air Force Base,Sigiriya,GIU,"80.7285003662, 7.956669807430001"
China Bay Airport,Trincomalee,TRR,"81.18190002441406, 8.5385103225708"
Weerawila Airport,Weerawila,WRZ,"81.23519897460001, 6.25448989868"
Mattala Rajapaksa International Airport,,HRI,"81.124128, 6.284467"
Battambang Airport,Battambang,BBM,"103.2239990234375, 13.095600128173828"
Kampong Chhnang Airport,Kampong Chhnang,KZC,"104.564002991, 12.255200386"
Kaoh Kong Airport,Kaoh Kong,KKZ,"102.997083664, 11.613397118600002"
Kratie Airport,Kratie,KTI,"106.05500030517578, 12.48799991607666"
Mondulkiri Airport,Sen Monorom,MWV,"107.187252, 12.463648"
Phnom Penh International Airport,Phnom Penh,PNH,"104.84400177001953, 11.546600341796875"
Ratanakiri Airport,Ratanakiri,RBE,"106.98699951171875, 13.729999542236328"
Siem Reap International Airport,Siem Reap,REP,"103.81300354, 13.410699844400002"
Stung Treng Airport,Stung Treng,TNX,"106.01499938964844, 13.531900405883789"
Sihanoukville International Airport,Sihanukville,KOS,"103.637001038, 10.57970047"
Krakor Airport,Krakor,KZD,"104.1486, 12.5385"
Isla de Tigre  Heliport,Isla de Tigre,ELX,"-62.43669891357422, 9.569999694824219"
Lagunillas Airport,Lagunillas,LGY,"-71.23799896240234, 10.12399959564209"
Zaraza Airport,Zaraza,ZRZ,"-65.28078, 9.349913"
Kamarata Airport,Kamarata,KTV,"-62.416000366199995, 5.75"
La Guaira Airport,La Guaira,LAG,"-67.0333328247, 10.5333299637"
Macagua Airport,Ciudad Guayana,SFX,"-62.6652, 8.2788"
San Salvador de Paul Airport,San Salvador de Paul,SVV,"-62, 7"
Wonken Airport,Wonken,WOK,"-61.733333587646484, 5.25"
Along Airport,,IXV,"94.802001953125, 28.17530059814453"
Agartala Airport,Agartala,IXA,"91.24040222170001, 23.8869991302"
Bagdogra Airport,Siliguri,IXB,"88.32859802246094, 26.68120002746582"
Balurghat Airport,Balurghat,RGH,"88.79560089111328, 25.261699676513672"
Shillong Airport,Shillong,SHL,"91.97869873046875, 25.70359992980957"
